1,2,3,4,5,6
5379.6797,6.764,2.465269,2547.6646,83.828,193.8919
4784.2632,6.853,2.464612,2546.3152,106.201,210.8388
2338.0015,6.586,2.475134,1392.8728,59.166,192.8959
4262.7129,6.23,2.469215,2547.1768,51.613,186.0936
3793.1982,6.586,2.466256,2163.0122,51.155,171.4773
8295.7549,8.811,2.465598,2536.3997,202.045,225.6616
4035.731,8.01,2.474147,1379.6422,44.804,199.8093
7381.5474,14.685,2.466256,998.443,201.759,249.3077
3949.6035,7.832,2.474476,1372.4976,46.921,199.8093
5829.7559,8.989,2.460337,1754.5386,195.408,241.6836
5268.7305,8.989,2.460666,1759.7694,195.98,241.6836
5290.8608,11.036,2.470202,997.4826,43.316,225.5982
5706.8452,16.91,2.441265,599.5508,40.684,210.0918
4715.7798,11.481,2.474147,999.9568,36.449,225.5982
4035.1328,6.853,2.486642,2159.9451,59.338,194.1913
6249.6279,18.067,2.478422,600.1067,61.226,215.4662
6163.5005,16.109,2.364651,600.3178,49.896,214.6092
4156.5488,8.366,2.472832,1379.6752,51.899,199.8093
3857.7939,6.408,2.460995,2550.7524,55.962,188.5268
3612.5696,6.23,2.467242,2549.04,38.795,178.4046
4184.0615,9.078,2.465927,1382.2968,62.542,192.8959
5188.2856,7.832,2.458364,1764.3337,84.515,205.0572
3973.5278,6.586,2.471846,2541.0854,37.88,178.4046
7025.374,7.832,2.45672,2150.2346,200.901,190.0223
2556.3108,5.162,2.467242,2168.603,58.136,194.1913
3488.7612,6.141,2.468886,2161.3035,48.809,171.4773
2971.697,6.141,2.45935,1768.3267,42.343,190.3269
5196.0605,6.853,2.465927,2539.4797,107.002,210.8388
5116.5122,10.769,2.477436,997.3516,44.46,224.5843
3364.3545,5.785,2.474147,2558.6423,51.098,186.0936
4277.3667,6.408,2.463954,2158.9766,78.621,207.3997
4467.8638,9.167,2.473819,1372.6672,77.419,188.4414
7178.1904,19.58,2.478422,599.7991,106.43,228.1527
4696.9395,7.387,1.466319,1761.431,51.384,195.139
5688.6021,12.549,2.474476,991.9186,57.278,221.5021
6184.1353,8.633,2.466913,1759.915,148.029,218.3649
6325.5879,7.654,2.459022,2154.1853,151.005,190
5187.9863,11.214,2.472174,998.4344,45.833,224.5843
4177.4829,8.722,2.469544,1377.7114,45.605,199.8093
6098.9043,16.554,2.400821,599.7437,56.419,215.4662
4658.9595,9.345,2.475791,1375.4034,82.054,188.4414
5902.7256,17.889,2.475463,600.2589,48.637,214.6092
5325.8501,11.926,2.469544,999.3534,61.741,221.5021
4377.8486,8.722,2.47349,1374.9354,58.708,192.8959
3691.8186,6.319,2.464612,2550.8291,55.275,186.0936
4949.3408,11.125,2.463954,1000.6978,41.256,225.5982
2957.6411,7.654,1.580747,998.6902,150.49,244.8175
6361.7734,12.816,2.47053,999.5296,82.855,229.4368
4363.7935,7.298,2.465598,1766.4866,48.981,195.139
